ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,7401,8,RAJESHEXPO,RAJESHEXPO-EQ,EQ,RAJESHEXPO-EQ,1100100007401,622.6,415.1,192509,0.05,1
NSECM,13352,8,MALUPAPER,MALUPAPER-EQ,EQ,MALUPAPER-EQ,1100100013352,30.55,25.05,557837,0.05,1
NSECM,583,8,CANFINHOME,CANFINHOME-EQ,EQ,CANFINHOME-EQ,1100100000583,691.85,461.25,173366,0.05,1
NSECM,3363,8,SUPREMEIND,SUPREMEIND-EQ,EQ,SUPREMEIND-EQ,1100100003363,2393,1595.4,50048,0.05,1
NSECM,1181,8,GODFRYPHLP,GODFRYPHLP-EQ,EQ,GODFRYPHLP-EQ,1100100001181,1072.65,715.15,111838,0.05,1
NSECM,15330,8,QGOLDHALF,QGOLDHALF-EQ,EQ,QGOLDHALF-EQ,1100100015330,2294.8,1529.9,14530,0.05,1
NSECM,1675,8,ITI,ITI-EQ,EQ,ITI-EQ,1100100001675,154.05,102.75,778025,0.05,1
NSECM,2142,8,MFSL,MFSL-EQ,EQ,MFSL-EQ,1100100002142,982.9,804.2,111790,0.05,1
NSECM,24190,8,SYMPHONY,SYMPHONY-EQ,EQ,SYMPHONY-EQ,1100100024190,1586.1,1057.4,75623,0.05,1
NSECM,5938,8,MONTECARLO,MONTECARLO-EQ,EQ,MONTECARLO-EQ,1100100005938,261.35,174.25,459132,0.05,1
NSECM,1672,8,HGINFRA,HGINFRA-EQ,EQ,HGINFRA-EQ,1100100001672,338.5,225.7,354465,0.05,1
NSECM,15083,8,ADANIPORTS,ADANIPORTS-EQ,EQ,ADANIPORTS-EQ,1100100015083,790.95,647.15,138159,0.05,1
NSECM,13710,8,FIEMIND,FIEMIND-EQ,EQ,FIEMIND-EQ,1100100013710,723.65,482.45,165813,0.05,1
NSECM,18431,8,BIGBLOC,BIGBLOC-EQ,EQ,BIGBLOC-EQ,1100100018431,101.2,91.6,462952,0.05,1
NSECM,11705,8,XCHANGING,XCHANGING-EQ,EQ,XCHANGING-EQ,1100100011705,82.9,55.3,1447134,0.05,1
NSECM,11184,8,IDFCFIRSTB,IDFCFIRSTB-EQ,EQ,IDFCFIRSTB-EQ,1100100011184,71.75,58.75,1531550,0.05,1
NSECM,21254,8,ICICILOVOL,ICICILOVOL-EQ,EQ,ICICILOVOL-EQ,1100100021254,142.26,94.84,47200,0.01,1
NSECM,3396,8,TAINWALCHM,TAINWALCHM-EQ,EQ,TAINWALCHM-EQ,1100100003396,75.75,50.55,306198,0.05,1
NSECM,2085,8,MAHSCOOTER,MAHSCOOTER-EQ,EQ,MAHSCOOTER-EQ,1100100002085,4356.4,2904.3,27542,0.05,1
NSECM,14339,8,GANESHHOUC,GANESHHOUC-EQ,EQ,GANESHHOUC-EQ,1100100014339,54,48.9,1609725,0.05,1
NSECM,7848,8,BIL,BIL-EQ,EQ,BIL-EQ,1100100007848,179.7,119.8,399017,0.05,1
NSECM,29733,8,NIBL,NIBL-EQ,EQ,NIBL-EQ,1100100029733,11.85,10.75,792342,0.05,1
NSECM,1782,8,KANPRPLA,KANPRPLA-EQ,EQ,KANPRPLA-EQ,1100100001782,185.4,123.6,468020,0.05,1
NSECM,6368,8,SICAL,SICAL-EQ,EQ,SICAL-EQ,1100100006368,13.95,11.45,1913612,0.05,1
NSECM,12231,8,OCCL,OCCL-EQ,EQ,OCCL-EQ,1100100012231,1222.85,815.25,98122,0.05,1
NSECM,11593,8,HDFCSENETF,HDFCSENETF-EQ,EQ,HDFCSENETF-EQ,1100100011593,649.09,432.73,71236,0.01,1
NSECM,17963,8,NESTLEIND,NESTLEIND-EQ,EQ,NESTLEIND-EQ,1100100017963,18516.35,15149.75,5881,0.05,1
NSECM,2492,8,SILGO,SILGO-EQ,EQ,SILGO-EQ,1100100002492,55.9,37.3,335828,0.05,1
NSECM,15384,8,DHANI,DHANI-EQ,EQ,DHANI-EQ,1100100015384,313.95,209.35,382158,0.05,1
NSECM,20453,8,APCL,APCL-EQ,EQ,APCL-EQ,1100100020453,257.7,171.8,465636,0.05,1
NSECM,17263,8,ARMANFIN,ARMANFIN-EQ,EQ,ARMANFIN-EQ,1100100017263,744.15,496.15,161248,0.05,1
NSECM,11965,8,VIVIMEDLAB,VIVIMEDLAB-EQ,EQ,VIVIMEDLAB-EQ,1100100011965,23.2,15.5,2711285,0.05,1
NSECM,3672,8,SOLARA,SOLARA-EQ,EQ,SOLARA-EQ,1100100003672,1542.3,1028.2,77780,0.05,1
NSECM,21469,8,OPTIEMUS,OPTIEMUS-EQ,EQ,OPTIEMUS-EQ,1100100021469,179,162,586454,0.05,1
NSECM,2816,8,RALLIS,RALLIS-EQ,EQ,RALLIS-EQ,1100100002816,323.6,215.8,370657,0.05,1
NSECM,15219,8,PATINTLOG,PATINTLOG-EQ,EQ,PATINTLOG-EQ,1100100015219,27.3,18.2,851353,0.05,1
NSECM,7406,8,GLENMARK,GLENMARK-EQ,EQ,GLENMARK-EQ,1100100007406,520.9,426.2,211061,0.05,1
NSECM,19036,8,PODDARMENT,PODDARMENT-EQ,EQ,PODDARMENT-EQ,1100100019036,244.85,163.25,346946,0.05,1
NSECM,2963,8,SAIL,SAIL-EQ,EQ,SAIL-EQ,1100100002963,84.35,69.05,1301115,0.05,1
NSECM,29135,8,INDUSTOWER,INDUSTOWER-EQ,EQ,INDUSTOWER-EQ,1100100029135,280.25,229.35,390765,0.05,1
NSECM,11809,8,IIFL,IIFL-EQ,EQ,IIFL-EQ,1100100011809,332.25,300.65,316003,0.05,1
NSECM,17922,8,GEEKAYWIRE,GEEKAYWIRE-EQ,EQ,GEEKAYWIRE-EQ,1100100017922,86.2,70.6,341780,0.05,1
NSECM,1726,8,JBCHEPHARM,JBCHEPHARM-EQ,EQ,JBCHEPHARM-EQ,1100100001726,1444,962.7,83078,0.05,1
NSECM,18562,8,MITTAL,MITTAL-EQ,EQ,MITTAL-EQ,1100100018562,11.85,10.75,384224,0.05,1
NSECM,6062,8,LICNETFGSC,LICNETFGSC-EQ,EQ,LICNETFGSC-EQ,1100100006062,25.82,17.22,1537734,0.01,1
NSECM,928,8,ELECTCAST,ELECTCAST-EQ,EQ,ELECTCAST-EQ,1100100000928,30.8,20.6,3890963,0.05,1
NSECM,8591,8,AKSHOPTFBR,AKSHOPTFBR-EQ,EQ,AKSHOPTFBR-EQ,1100100008591,7,5.8,5320223,0.05,1
NSECM,24391,8,EBIXFOREX,EBIXFOREX-EQ,EQ,EBIXFOREX-EQ,1100100024391,593.2,395.5,202282,0.05,1
NSECM,10530,8,SHARDAMOTR,SHARDAMOTR-EQ,EQ,SHARDAMOTR-EQ,1100100010530,2472.7,1648.5,48527,0.05,1
NSECM,804,8,SHIVATEX,SHIVATEX-EQ,EQ,SHIVATEX-EQ,1100100000804,164.45,134.55,423880,0.05,1
NSECM,25756,8,VIKASECO,VIKASECO-EQ,EQ,VIKASECO-EQ,1100100025756,2.5,2.3,9152719,0.05,1
NSECM,20188,8,WABAG,WABAG-EQ,EQ,WABAG-EQ,1100100020188,303.2,202.2,395717,0.05,1
NSECM,2029,8,IRFC,IRFC-EQ,EQ,IRFC-EQ,1100100002029,29.55,19.75,4051236,0.05,1
